coursename,coursestatus,coursemodality,startdate,finishdate,resources,goalname,goallink
schedule-exercises,en curso,in-person course,july 31,2025,exercise routine  (https://www.notion.so/exercise-routine-13de58af1807807ca1bdefcb3ecad1ba?pvs=21),meditation,https://www.notion.so/meditation-13de58af18078028ba20dd90978abc05?pvs=21
gnu linux essentials,listo,online course,"april 26, 2024","may 31, 2024",https://www.netacad.com/dashboard,software developer - devops,https://www.notion.so/software-developer-devops-e83d3b20824b4bed9b88590efa4786d3?pvs=21
git-github,listo,online course,"april 1, 2024","april 25, 2024",null ,software developer - devops,https://www.notion.so/software-developer-devops-e83d3b20824b4bed9b88590efa4786d3?pvs=21
sistemas operativos,listo,online course,september 30,2026,https://www.netacad.com/dashboard,software developer - devops,https://www.notion.so/software-developer-devops-e83d3b20824b4bed9b88590efa4786d3?pvs=21
systems analysis and design,listo,semi-presential,march 7,2025,null ,software developer - devops,https://www.notion.so/software-developer-devops-e83d3b20824b4bed9b88590efa4786d3?pvs=21
c#,listo,semi-presential,january 18,2025,https://plataformavirtual.itla.edu.do/course/view.php?id=9644,null ,null 
programacion ii,en curso,virtual-course,may 13,2025,https://refactoring.guru/,software developer - devops,https://www.notion.so/software-developer-devops-e83d3b20824b4bed9b88590efa4786d3?pvs=21
fluid english,en curso,semi-presential,november 14,2026,https://www.youtube.com/playlist?list=plgrnddl9mxymumf19zpiljdg8fkirmp78; https://www.instagram.com/dairon_castillo7412/; https://youtu.be/jwfum56yrd4?si=5dllb4qtllp9on_o; https://salondeidiomas.es/100-expresiones-en-ingles-para-el-dia-a-did/,speaking fluent english,https://www.notion.so/speaking-fluent-english-0af79d5005604aefa6ce80b8526fd9e8?pvs=21
fluid english,en curso,semi-presential,november 14,2026,https://www.youtube.com/playlist?list=plgrnddl9mxymumf19zpiljdg8fkirmp78; https://www.instagram.com/dairon_castillo7412/; https://youtu.be/jwfum56yrd4?si=5dllb4qtllp9on_o; https://salondeidiomas.es/100-expresiones-en-ingles-para-el-dia-a-did/,comfortable job,https://www.notion.so/comfortable-job-9b22c293331a4b8690c9f5ddd3aacab2?pvs=21
user-centered design,listo,virtual-course,may 15,2025,null ,software developer - devops,https://www.notion.so/software-developer-devops-e83d3b20824b4bed9b88590efa4786d3?pvs=21
sql server,listo,virtual-course,september 20,2026,https://meet.google.com/landing,software developer - devops,https://www.notion.so/software-developer-devops-e83d3b20824b4bed9b88590efa4786d3?pvs=21
python,en curso,semi-presential,september 20,2026,https://www.udemy.com/course/universidad-python-desde-cero-hasta-experto-django-flask-rest-web/learn/lecture/45143431#overview; https://refactoring.guru/; https://gktcs.com/media/ppt/sanket%20lolge/python-django/7-_modules__packages.pdf,software developer - devops,https://www.notion.so/software-developer-devops-e83d3b20824b4bed9b88590efa4786d3?pvs=21
devops,en curso,online course,null ,null ,https://www.udemy.com/course/devops-total/learn/lecture/40793178?start=59#overview; https://learn.microsoft.com/es-mx/training/paths/az-400-work-git-for-enterprise-devops/; https://kodekloud.com/pages/free-labs/,software developer - devops,https://www.notion.so/software-developer-devops-e83d3b20824b4bed9b88590efa4786d3?pvs=21
linux for devops,sin empezar,online course,null ,null ,https://copy.sh/v86/?profile=linux26; https://www.youtube.com/watch?v=cijko31tfw0; https://courses.edx.org/courses/course-v1:linuxfoundationx+lfd107x+2t2023/jump_to/block-v1:linuxfoundationx+lfd107x+2t2023+type@html+block@7869b2638e4943b6a80da5e7182fff95,software developer - devops,https://www.notion.so/software-developer-devops-e83d3b20824b4bed9b88590efa4786d3?pvs=21
ciberseguridad: fundamentos esenciales penetration tester,en curso,semi-presential,june 26,2025,https://www.notion.sotryhackme.com,null ,null 
python - ia,en curso,online course,"september 2, 2025","december 31, 2025",https://www.steamvirtual.com/my/,comfortable job,https://www.notion.so/comfortable-job-9b22c293331a4b8690c9f5ddd3aacab2?pvs=21
